Pressure_hPa,Altitude_m,WindSpeed_mps,WindDirection_deg,Temperature_K
1000.0,228.30806,1.8163917,75.600555,279.2807
975.0,435.337,2.611305,78.320496,278.233
950.0,647.0923,2.5948615,96.56546,277.9876
925.0,864.2634,1.7502335,127.293945,277.47968
900.0,1086.8271,1.2534354,178.5545,276.7599
850.0,1549.306,1.8877544,263.5225,275.76733
800.0,2037.0934,3.8598797,280.945,273.7914
750.0,2552.0747,5.9883657,283.63702,271.19598
700.0,3097.4695,8.454886,283.6863,268.57162
650.0,3677.3267,11.410037,282.73163,265.70682
600.0,4296.346,14.6528845,281.12823,262.33426
550.0,4960.048,18.187363,280.16724,258.43903
500.0,5675.0146,22.239574,280.29602,253.84077
450.0,6450.6084,28.098186,279.0454,248.98047
400.0,7300.4756,36.08859,276.68225,244.047
350.0,8244.8955,46.565613,274.8133,239.24097
300.0,9312.227,58.1564,273.6456,233.8171
250.0,10541.78,66.84246,271.56818,226.91219
200.0,11997.074,70.058655,268.03326,218.9034
150.0,13806.197,65.99316,265.76526,211.36638
100.0,16275.697,49.54623,263.3319,205.60004
70.0,18413.16,32.694294,266.10504,204.40074
50.0,20432.049,21.820156,267.88843,206.12315
30.0,23572.559,15.785127,265.4054,214.9
20.0,26168.59,13.26722,256.49,221.9
10.0,30737.668,15.00407,252.48135,228.89995
5.0,35488.004,23.695932,262.11832,240.09995
1.0,47588.63,36.86922,273.07086,269.52908
