Pressure_hPa,Altitude_m,WindSpeed_mps,WindDirection_deg,Temperature_K
1000.0,14.624451,6.0397673,287.2824,290.86017
975.0,230.87442,7.8737254,288.6678,289.99518
950.0,452.0523,8.942042,289.93265,288.25165
925.0,677.78186,9.758307,292.14624,286.96014
900.0,908.7987,10.771921,296.0374,286.11456
850.0,1388.5505,12.625852,303.5394,284.49515
800.0,1893.1799,13.840624,305.3163,281.7723
750.0,2424.4067,14.739218,304.01752,278.58896
700.0,2985.222,15.740055,302.91455,275.359
650.0,3580.3188,16.216085,301.84863,271.95676
600.0,4214.4185,16.532825,301.24524,268.37653
550.0,4893.5874,16.801308,299.67276,264.31714
500.0,5625.16,16.997557,297.12247,259.65875
450.0,6418.223,17.253206,294.83356,254.3
400.0,7284.4814,17.710455,293.3572,248.03873
350.0,8239.632,18.29456,292.01196,240.60808
300.0,9306.891,18.899063,290.20557,232.5
250.0,10526.785,19.381567,282.6603,225.30441
200.0,11982.818,19.747984,272.91327,221.4
150.0,13841.787,16.416718,262.53192,220.13948
100.0,16436.266,10.275635,252.18771,216.40039
70.0,18674.057,3.9291549,245.7868,213.10007
50.0,20780.45,1.9049332,118.18466,215.2
30.0,24035.559,5.362496,109.66931,220.29996
20.0,26678.55,7.716164,93.71561,225.0
10.0,31324.084,12.797038,91.34158,233.6
5.0,36196.25,18.348553,88.13571,247.60005
1.0,48646.508,29.927217,98.48151,273.65488
