r0_m,T0_K,n0,u0_mps,Q_kgps,zmax_m,ok
200.0,1373.0,0.04,86.56683367334716,38394182.94331097,18027.137313462976,True
200.0,1373.0,0.05,112.60270225878904,39964587.912306644,18013.097901864803,True
100.0,1373.0,0.03,283.58125,41904998.393413715,18011.0311879565,True
100.0,1373.0,0.04,381.25,42273067.022330336,18040.47648007455,True
200.0,1273.0,0.04,90.9096514161572,43483028.94014619,18046.472690763123,True
200.0,1273.0,0.05,118.61352266406249,45401086.97626507,18012.291756284772,True
100.0,1273.0,0.04,396.25,47382620.95698304,18008.755866492316,True
100.0,1273.0,0.03,301.75,48085647.69672428,18047.75154928883,True
200.0,1173.0,0.05,128.23083531249998,53261336.186677344,18044.39540450811,True
100.0,1173.0,0.03,320.875,55483212.99935561,18032.395055160003,True
200.0,1073.0,0.05,139.54532078124998,63355207.97833628,18001.923997609363,True
100.0,1073.0,0.03,347.5,65673837.397714734,18029.824594925234,True
200.0,1173.0,0.04,102.52189900566367,53211158.939236246,18199.79585272652,False
200.0,1373.0,0.03,99.20391440206913,58637725.50038564,19915.374750803865,False
200.0,1073.0,0.04,117.57571695346448,66701839.785075545,18314.352115296373,False
200.0,1273.0,0.03,110.33044778722521,70327238.34324235,20117.368295936147,False
200.0,1173.0,0.03,123.65345469528101,85524780.24108386,20246.607941854305,False
200.0,1073.0,0.03,139.96657542821885,105808830.10978785,20254.50610821927,False
100.0,1073.0,0.04,,,17498.959250315835,False
100.0,1073.0,0.05,,,16641.545456040985,False
100.0,1173.0,0.04,,,17805.93348568516,False
100.0,1173.0,0.05,,,16924.32579327185,False
100.0,1273.0,0.05,,,17151.57299238992,False
100.0,1373.0,0.05,,,17338.147676320605,False
