Pressure_hPa,Altitude_m,WindSpeed_mps,WindDirection_deg,Temperature_K
1000.0,89.9073,1.0422498,143.29553,289.61243
975.0,303.8681,0.99834484,137.26819,288.14624
950.0,522.29865,1.81971,163.08801,286.47034
925.0,745.9423,2.6071627,194.90123,285.68726
900.0,974.9359,2.1733282,216.08907,284.53674
875.0,1209.8706,4.3702526,233.47153,283.72314
850.0,1451.3429,4.943586,252.85522,283.2165
825.0,1699.3643,5.8925524,266.90222,282.3562
800.0,1954.2048,7.3551936,276.10748,281.39465
775.0,2216.1938,7.501658,282.7348,280.24872
750.0,2485.5745,7.501065,289.68903,279.00708
700.0,3048.436,7.4896374,306.63614,276.6588
650.0,3647.1484,7.8356304,314.08737,273.89145
600.0,4286.7915,8.883885,310.9282,270.88715
550.0,4972.845,11.371962,302.05237,266.96753
500.0,5711.7905,13.87894,290.87943,262.36136
450.0,6513.2573,14.994967,286.21533,257.10632
400.0,7388.2676,15.784894,286.75372,250.23605
350.0,8350.57,13.644379,291.07544,241.94931
300.0,9419.641,13.114074,293.37173,231.89558
250.0,10626.603,15.08934,280.87244,220.61563
200.0,12037.501,13.590996,271.56564,213.3118
150.0,13841.373,21.073414,265.44333,217.2885
100.0,16420.96,13.255085,265.0086,216.10446
70.0,18693.393,4.8951707,250.0839,219.73499
50.0,20862.201,1.0111884,279.49686,220.1783
