r0_m,T0_K,n0,u0_mps,Q_kgps,zmax_m,ok
60.0,1373.0,0.03,51.562636961862374,2411782.3299175543,12019.000071166203,True
70.0,1373.0,0.04,50.49582378334108,2412086.8594284863,12013.699899785588,True
80.0,1373.0,0.05,48.3621974262985,2414488.8974763434,12011.64561414067,True
80.0,1373.0,0.04,38.79555024790883,2420489.990424828,12014.67181185835,True
60.0,1373.0,0.04,69.89041354095653,2452796.467464883,12029.41923505605,True
50.0,1373.0,0.04,100.82149426445311,2457166.2387760035,12012.762806815805,True
50.0,1373.0,0.03,75.7966456711782,2462013.8064093604,12037.272818208005,True
70.0,1373.0,0.05,64.42714882050147,2462658.5775784617,12035.405404032574,True
40.0,1373.0,0.03,118.61352266406249,2465781.9857002194,12012.167808595686,True
50.0,1373.0,0.05,128.23083531249998,2500758.1516145477,12025.846663946419,True
60.0,1373.0,0.05,89.17252431903319,2504221.701654534,12048.471183621206,True
40.0,1373.0,0.05,200.97240625,2508393.277255545,12006.673577921305,True
40.0,1373.0,0.04,160.84317578125,2508788.343758844,12019.14109655356,True
30.0,1373.0,0.04,289.0,2535605.897802968,12015.894973261567,True
30.0,1373.0,0.05,362.5,2545011.40845244,12032.361926885176,True
30.0,1373.0,0.03,218.014375,2549342.1606905153,12031.266125100381,True
70.0,1273.0,0.04,52.62945014038367,2711238.9657662422,12008.012239415244,True
80.0,1273.0,0.05,50.49582378334108,2718845.8986956817,12009.051941729425,True
60.0,1273.0,0.04,72.84352960606736,2756997.465365009,12021.53800957765,True
50.0,1273.0,0.03,78.74976173628905,2758526.3619384286,12023.727624457582,True
70.0,1273.0,0.05,66.93729747584568,2759392.067856015,12022.905888755577,True
60.0,1273.0,0.03,54.76307649742625,2762346.920949713,12044.236931897165,True
60.0,1273.0,0.05,92.64677851328123,2805963.263690885,12033.241551394276,True
50.0,1273.0,0.04,106.95253107783202,2811084.8871945455,12029.941524676826,True
50.0,1273.0,0.05,133.88807804687497,2815989.7737585776,12015.891535443716,True
40.0,1273.0,0.03,125.8265071503906,2820850.0798653904,12027.673399626025,True
30.0,1273.0,0.04,301.75,2855174.610816078,12008.064063752074,True
30.0,1273.0,0.05,377.5,2858305.3535192856,12027.253081227485,True
30.0,1273.0,0.03,227.22625,2865423.987255122,12016.48376960771,True
40.0,1273.0,0.05,213.4084375,2872636.84187755,12022.927651435584,True
40.0,1273.0,0.04,170.8265453125,2873546.475365832,12035.12899154763,True
60.0,1173.0,0.03,56.89670285446883,3114180.6957127866,12007.580570545293,True
80.0,1173.0,0.05,53.696263318904954,3137371.251142021,12017.525986473927,True
60.0,1173.0,0.04,77.27320370373363,3173636.041113128,12022.668246751131,True
60.0,1173.0,0.05,96.73413638886717,3179246.0007555727,12006.097617612726,True
70.0,1173.0,0.04,56.89670285446883,3180598.724572045,12043.324700072428,True
50.0,1173.0,0.03,83.96114302766111,3191336.200431636,12032.070453320674,True
70.0,1173.0,0.05,71.36697157351195,3192531.728981539,12033.173881219927,True
50.0,1173.0,0.04,113.80486633984373,3245835.772001576,12031.122667470621,True
40.0,1173.0,0.03,133.88807804687497,3256987.543479743,12026.780892656283,True
30.0,1173.0,0.05,400.0,3286581.2622496956,12039.348084994695,True
40.0,1173.0,0.04,181.397171875,3311129.7165297037,12029.791182754301,True
50.0,1173.0,0.05,145.202563515625,3314027.947785239,12046.111769164241,True
40.0,1173.0,0.05,227.22625,3319100.157961177,12023.828105934292,True
30.0,1173.0,0.04,327.25,3360066.441777702,12048.232922718385,True
30.0,1173.0,0.03,245.65,3361348.0637822268,12041.60114150984,True
60.0,1073.0,0.04,82.22401593053709,3691209.874648198,12000.011404079725,True
50.0,1073.0,0.03,89.17252431903319,3704653.317032236,12004.907021929614,True
70.0,1073.0,0.05,75.7966456711782,3706308.2652534666,12008.872565408436,True
70.0,1073.0,0.04,60.66192583748514,3706635.045021275,12023.976681724986,True
80.0,1073.0,0.05,58.15177718214093,3713970.3920674017,12027.507080821273,True
60.0,1073.0,0.05,104.90885214003904,3768860.886918292,12010.2079873345,True
50.0,1073.0,0.04,123.42217898828123,3847696.1779043716,12032.191519761074,True
40.0,1073.0,0.03,145.202563515625,3860741.9058019654,12025.197281606768,True
30.0,1073.0,0.04,347.5,3900002.3804598376,12030.086773922436,True
30.0,1073.0,0.03,261.90625,3917101.949063875,12016.320496122395,True
40.0,1073.0,0.05,245.65,3922222.4625817025,12022.240328097667,True
50.0,1073.0,0.05,157.5153859375,3929691.538560252,12046.400264762791,True
40.0,1073.0,0.04,197.057359375,3931698.3950100956,12031.360103618184,True
70.0,1373.0,0.03,45.62411305541016,2904631.2365906634,12324.720784646812,False
80.0,1273.0,0.04,44.165631503387814,2971716.006003654,12144.624519110446,False
70.0,1273.0,0.03,52.46223967636739,3601892.8464939124,12498.58351944001,False
80.0,1173.0,0.04,52.180951045311964,3809935.862990734,12337.062429318388,False
60.0,1073.0,0.03,64.88983491297826,3882001.2704860643,12080.651163992015,False
80.0,1373.0,0.03,49.794685825191834,4140601.730178977,13024.101004842849,False
70.0,1173.0,0.03,60.85496705487611,4533632.565931886,12671.495437884443,False
80.0,1073.0,0.04,62.319016160739736,4973568.64204227,12524.378168930802,False
80.0,1273.0,0.03,57.15531680284658,5125361.376370082,13223.182512185736,False
70.0,1073.0,0.03,71.43979010929715,5817183.35931878,12836.987121776183,False
80.0,1173.0,0.03,64.42714882050147,6269069.635813976,13204.187534016353,False
80.0,1073.0,0.03,77.57240857849462,8250186.257923985,13607.2739468974,False
30.0,1073.0,0.05,,,11924.646044859686,False
