Pressure_hPa,Altitude_m,WindSpeed_mps,WindDirection_deg,Temperature_K
1000.0,34.181503,1.5293945,338.1524,293.54224
975.0,251.12479,1.8912545,344.659,291.96448
950.0,473.09595,1.7563288,353.1351,290.00305
925.0,699.6703,1.6015931,3.4121094,288.0421
900.0,930.98517,1.6887512,1.2626038,286.10303
875.0,1167.1958,1.5041623,356.97864,284.4397
850.0,1408.908,1.768009,327.78848,283.33215
825.0,1656.7552,3.0376384,314.97638,282.4334
800.0,1911.6892,4.3386703,306.91794,282.20703
775.0,2174.1426,4.8477693,306.14032,281.30273
750.0,2444.0645,4.897696,307.8363,280.14597
700.0,3008.3264,4.215153,305.92227,278.03986
650.0,3609.5918,4.905883,286.02112,275.7124
600.0,4251.9404,5.859997,276.06866,271.97986
550.0,4939.7505,5.8115687,283.51685,267.53943
500.0,5680.0293,6.623233,288.26892,262.7189
450.0,6481.826,7.233767,295.54626,257.016
400.0,7357.943,11.864448,324.28854,251.17955
350.0,8326.083,19.30301,327.02917,243.86755
300.0,9406.372,32.729633,324.90167,235.1432
250.0,10639.229,45.433598,322.20602,227.03702
200.0,12107.651,23.744373,307.9982,225.05086
150.0,13998.689,19.767344,296.50018,222.51418
100.0,16594.38,10.491794,285.25626,216.0339
70.0,18841.125,3.3047347,200.0023,216.46805
50.0,20985.533,4.8501687,124.68213,218.86198
