r0_m,T0_K,n0,u0_mps,Q_kgps,zmax_m,ok
70.0,1373.0,0.04,50.49582378334108,2818843.0551808355,12031.78584125736,True
80.0,1373.0,0.05,48.3621974262985,2821768.3098199274,12004.112035334521,True
60.0,1373.0,0.04,71.36697157351195,2926975.7443412757,12021.316658066991,True
50.0,1373.0,0.03,77.27320370373363,2933033.895085751,12027.623198098036,True
70.0,1373.0,0.05,65.68222314817358,2934129.488463006,12024.862902806499,True
50.0,1373.0,0.04,104.90885214003904,2987937.42876451,12001.275964326831,True
60.0,1373.0,0.05,92.64677851328123,3040662.2033236376,12045.152092554887,True
50.0,1373.0,0.05,133.88807804687497,3051527.359895208,12002.435342568373,True
40.0,1373.0,0.03,125.8265071503906,3056611.7530712485,12025.381503741675,True
40.0,1373.0,0.04,170.8265453125,3113828.5437155087,12012.17279738164,True
80.0,1273.0,0.05,50.49582378334108,3177424.957580692,12030.78372545872,True
40.0,1373.0,0.05,218.014375,3180097.716805103,12021.994587886149,True
30.0,1373.0,0.05,392.5,3220457.132876566,12025.458094322834,True
30.0,1373.0,0.04,314.5,3224649.48175337,12022.149406871775,True
30.0,1373.0,0.03,236.438125,3230785.842072254,12046.633044175822,True
50.0,1273.0,0.03,80.48688883341308,3294514.8606621586,12020.950815570053,True
70.0,1273.0,0.05,68.4138555084011,3295945.432599374,12020.328893686625,True
60.0,1273.0,0.04,75.7966456711782,3352482.128410154,12049.48440362006,True
50.0,1273.0,0.04,111.40053817773435,3421694.892639954,12017.68447052644,True
60.0,1273.0,0.05,96.73413638886717,3423908.312667022,12034.589446912416,True
50.0,1273.0,0.05,142.3739421484375,3499535.357559663,12016.995546689694,True
40.0,1273.0,0.03,133.88807804687497,3507423.5354093825,12041.556386650134,True
40.0,1273.0,0.04,181.397171875,3565861.5612286935,12020.569671927393,True
30.0,1273.0,0.03,245.65,3619808.5354101593,12013.742360970113,True
40.0,1273.0,0.05,231.8321875,3646981.6875036587,12032.856065055279,True
30.0,1273.0,0.04,333.625,3689054.5755250305,12034.007852811632,True
60.0,1173.0,0.04,78.74976173628905,3779553.7628436624,12018.76745060681,True
50.0,1173.0,0.03,85.69827012478514,3806220.2572642434,12030.326238289515,True
70.0,1173.0,0.05,72.84352960606736,3808143.3722877465,12034.031325491429,True
60.0,1173.0,0.05,102.86517320224607,3950909.592152828,12031.811397181473,True
50.0,1173.0,0.04,118.61352266406249,3953329.2971372874,12012.897469276082,True
40.0,1173.0,0.03,142.3739421484375,4046991.9921445753,12029.4296754436,True
50.0,1173.0,0.05,154.18759609375002,4112592.466602797,12037.037484689128,True
40.0,1173.0,0.04,193.1423125,4119895.379878468,12006.6711747537,True
40.0,1173.0,0.05,245.65,4193368.0374412024,12011.410484710357,True
30.0,1173.0,0.04,355.0,4259509.985257536,12030.631724493063,True
30.0,1173.0,0.03,267.325,4274289.531923704,12040.081113610193,True
60.0,1073.0,0.04,85.69827012478514,4495682.926508827,12034.935323487556,True
50.0,1073.0,0.03,92.64677851328123,4497401.6570605645,12031.76714179479,True
70.0,1073.0,0.05,78.74976173628905,4500052.891715174,12043.166600452216,True
60.0,1073.0,0.05,111.40053817773435,4676943.027067448,12023.766878332011,True
50.0,1073.0,0.04,131.05945667968746,4774517.496211305,12033.107307983035,True
50.0,1073.0,0.05,167.49875546875,4883417.813065706,12022.937541777192,True
40.0,1073.0,0.03,157.5153859375,4893665.815706998,12045.65479983872,True
40.0,1073.0,0.04,213.4084375,4975682.796784427,12019.56495836445,True
40.0,1073.0,0.05,267.325,4988062.057318763,12003.125808658411,True
30.0,1073.0,0.04,385.0,5049220.725767356,12039.06151074478,True
30.0,1073.0,0.03,289.0,5050468.844240544,12019.060032987054,True
60.0,1373.0,0.03,56.432055708355065,3084441.421984483,12224.66326857382,False
